0.0000000000000000000 0.0000000000000000000	|
0.0000000000000000000 0.2500000000000000000	-5.3333333333333333335 0.1666666666666666667	-3.5438710820278934498 0.1118421045673871373	-2.3361185503181135638 0.0762333236571960969	-1.4965285567738574237 0.0548000301412118946	-0.8494468328422450895 0.0474043814445094838	-0.1086295942388507126 0.0828439392877628924	4.6523337686757306160 17.2791148455329541811	3.1006555951084265664 11.5188872291107156096	2.0650777705620760824 7.6780822533909378696	1.3721571003750144894 5.1160765163024538612	0.9044853751549146067 3.4047724911786089068	0.5796724438949696442 2.2565187935164890516	0.3326406122380914895 1.4747475381667622297	0.0900369696893011866 0.9205573167388991053	-0.3222125156156281042 0.5382117373163731495	-0.6149097152186310188 1.1054813903362330027	-0.5198045188592199597 0.9139664307722044701	-0.5006677140829786913 0.8684524083792263314	-0.5000000896716171704 0.8660317188242510895	-0.4999999999810452655 0.8660254038195346401	|-0.500000000 0.866025404
0.0000000000000000000 0.5000000000000000000	-1.3333333333333333334 0.3333333333333333333	-0.7331795463283352556 0.3052672049211841600	-0.1164661549211543020 0.5785691411569420261	-0.9601160976719275734 0.7560013219940152073	-0.5877208962162676699 0.7209837683027666597	-0.4694677761982073091 0.8580009870859033555	-0.5008676263776043561 0.8654767453544898244	-0.4999994025199238383 0.8660245356623337647	-0.5000000000007000642 0.8660254037853008456	|-0.500000000 0.866025404
0.0000000000000000000 0.7500000000000000000	-0.5925925925925925926 0.5000000000000000000	-0.3017525320991836493 0.8799038119749513696	-0.5053218188747806792 0.8230181807829866565	-0.4985804011522027834 0.8673874174829281852	-0.4999967279406812999 0.8660233411781564323	-0.5000000000149156438 0.8660254037855999666	|-0.500000000 0.866025404
0.0000000000000000000 1.0000000000000000000	-0.3333333333333333333 0.6666666666666666667	-0.5822222222222222222 0.9244444444444444445	-0.5087908032893190948 0.8681655118873491218	-0.5000687390673926673 0.8659822186925401653	-0.4999999962890297389 0.8660253983385867971	-0.5000000000000000271 0.8660254037844386807	|-0.500000000 0.866025404
0.0000000000000000000 1.2500000000000000000	-0.2133333333333333333 0.8333333333333333333	-0.5372863142032081626 0.7720142046787585912	-0.4890813055701311971 0.8679934519844507735	-0.5000188469739087331 0.8659031482785304419	-0.4999999887109825637 0.8660254141168054699	-0.4999999999999998083 0.8660254037844385122	|-0.500000000 0.866025404
0.0000000000000000000 1.5000000000000000000	-0.1481481481481481481 1.0000000000000000000	-0.4109297490214265735 0.7612353797876972509	-0.5183602377509591920 0.8798771539042589105	-0.5004974741763180530 0.8661562289240771240	-0.5000002278636401234 0.8660252695401587426	-0.4999999999999639678 0.8660254037843786988	|-0.500000000 0.866025404
0.0000000000000000000 1.7500000000000000000	-0.1088435374149659864 1.1666666666666666666	-0.3111572934299112158 0.8226878400841831121	-0.5304607162435066019 0.8335948845414559252	-0.4982532687719227050 0.8650285614607097642	-0.5000040538853004096 0.8660253576731170501	-0.5000000000078922046 0.8660254037700213842	|-0.500000000 0.866025404
0.0000000000000000000 2.0000000000000000000	-0.0833333333333333333 1.3333333333333333334	-0.2408725172052398808 0.9121443507429669219	-0.4862732937382571260 0.7930032168589012029	-0.4988649501824970832 0.8720012378946713293	-0.4999713387674385745 0.8660484417760787587	-0.4999999990016535270 0.8660254028724281447	-0.5000000000000000016 0.8660254037844386475	|-0.500000000 0.866025404
0.0000000000000000000 2.2500000000000000000	-0.0658436213991769547 1.5000000000000000000	-0.1911902666473006196 1.0129561704860448623	-0.4195650610958485619 0.7896440177200182583	-0.5130337227466550971 0.8719099663346085456	-0.5001978244295119891 0.8659877602954548400	-0.5000000059701374736 0.8660253636784068941	-0.4999999999999987989 0.8660254037844397694	|-0.500000000 0.866025404
